park_name,park_code,year,month,visits
Pinnacles National Park,PINN,2007,1,10006
Pinnacles National Park,PINN,2007,2,11119
Pinnacles National Park,PINN,2007,3,17662
Pinnacles National Park,PINN,2007,4,30226
Pinnacles National Park,PINN,2007,5,15504
Pinnacles National Park,PINN,2007,6,11041
Pinnacles National Park,PINN,2007,7,12406
Pinnacles National Park,PINN,2007,8,13598
Pinnacles National Park,PINN,2007,9,8144
Pinnacles National Park,PINN,2007,10,13373
Pinnacles National Park,PINN,2007,11,10652
Pinnacles National Park,PINN,2007,12,7288
Dry Tortugas National Park,DRTO,2011,1,3142
Dry Tortugas National Park,DRTO,2011,2,4706
Dry Tortugas National Park,DRTO,2011,3,4578
Dry Tortugas National Park,DRTO,2011,4,5811
Dry Tortugas National Park,DRTO,2011,5,11166
Dry Tortugas National Park,DRTO,2011,6,11518
Dry Tortugas National Park,DRTO,2011,7,11164
Dry Tortugas National Park,DRTO,2011,8,5481
Dry Tortugas National Park,DRTO,2011,9,3910
Dry Tortugas National Park,DRTO,2011,10,3006
Dry Tortugas National Park,DRTO,2011,11,5212
Dry Tortugas National Park,DRTO,2011,12,5477
Rocky Mountain National Park,ROMO,2007,1,51340
Rocky Mountain National Park,ROMO,2007,2,51929
Rocky Mountain National Park,ROMO,2007,3,77306
Rocky Mountain National Park,ROMO,2007,4,75190
Rocky Mountain National Park,ROMO,2007,5,188187
Rocky Mountain National Park,ROMO,2007,6,468770
Congaree National Park,CONG,2011,1,6657
Congaree National Park,CONG,2011,2,8621
Congaree National Park,CONG,2011,3,12582
Congaree National Park,CONG,2011,4,11277
Congaree National Park,CONG,2011,5,11215
Congaree National Park,CONG,2011,6,11689
Congaree National Park,CONG,2011,7,3233
Congaree National Park,CONG,2011,8,11117
Congaree National Park,CONG,2011,9,15493
Congaree National Park,CONG,2011,10,11676
Congaree National Park,CONG,2011,11,9825
Congaree National Park,CONG,2011,12,6781
Rocky Mountain National Park,ROMO,2007,7,653885
Rocky Mountain National Park,ROMO,2007,8,559939
Rocky Mountain National Park,ROMO,2007,9,442327
Rocky Mountain National Park,ROMO,2007,10,204583
Rocky Mountain National Park,ROMO,2007,11,70953
Rocky Mountain National Park,ROMO,2007,12,50974
Badlands National Park,BADL,2011,1,6646
Badlands National Park,BADL,2011,2,6818
Badlands National Park,BADL,2011,3,16375
Badlands National Park,BADL,2011,4,20652
Badlands National Park,BADL,2011,5,58637
Badlands National Park,BADL,2011,6,169056
Badlands National Park,BADL,2011,7,217178
Badlands National Park,BADL,2011,8,188638
Badlands National Park,BADL,2011,9,116187
Badlands National Park,BADL,2011,10,40910
Badlands National Park,BADL,2011,11,17133
Badlands National Park,BADL,2011,12,12511
Sequoia & Kings Canyon National Park,KICA,2011,1,20336
Sequoia & Kings Canyon National Park,KICA,2011,2,15770
Sequoia & Kings Canyon National Park,KICA,2011,3,15722
