,year,actual,synthetic,effect,park_code
0,2010,100.0,100.0000000000069,-6.906475391588174e-12,BADL
1,2011,87.16368851290758,87.14654584685834,0.017142666049238642,BADL
2,2012,83.89905011042734,84.18060822493658,-0.28155811450923807,BADL
3,2013,90.20999484125834,90.17383376360145,0.036161077656885254,BADL
4,2014,86.28216172718203,86.47038369001477,-0.18822196283274195,BADL
5,2015,99.21218825244787,98.53550134495049,0.676686907497384,BADL
6,2016,99.87323874378966,100.55316834807958,-0.6799296042899243,BADL
7,2017,106.22656335729394,105.89276839352253,0.3337949637714104,BADL
8,2018,101.74753950725818,101.323821639553,0.4237178677051787,BADL
9,2019,98.18245800796893,98.71353726886828,-0.5310792608993467,BADL
10,2020,92.8785400130419,66.98399094023559,25.894549072806313,BADL
11,2021,115.88930273741249,103.38445427593814,12.504848461474353,BADL
12,2022,92.75770689518168,95.67137055254645,-2.913663657364765,BADL
13,2023,99.86264377312132,95.36286457031467,4.49977920280665,BADL
14,2024,100.07315574985273,96.96219738370327,3.110958366149461,BADL
15,2025,102.56171255087794,98.0954009553951,4.466311595482836,BADL
16,2010,100.0,100.0000001029194,-1.0291940100159991e-07,BIBE
17,2011,98.37157565253382,96.69061483940811,1.6809608131257079,BIBE
18,2012,81.98903174069379,86.54419481081547,-4.555163070121679,BIBE
19,2013,76.26173784825517,85.64670751540106,-9.384969667145896,BIBE
20,2014,99.6494813358512,90.53910941511236,9.110371920738842,BIBE
21,2015,95.4859404506299,92.61044561309767,2.87549483753223,BIBE
22,2016,89.69268179113745,94.28780625564016,-4.595124464502717,BIBE
23,2017,103.7522311612386,101.77314770161648,1.9790834596221174,BIBE
24,2018,101.2378094523631,102.13541620021823,-0.8976067478551357,BIBE
25,2019,105.36125410663011,105.33862830453472,0.022625802095390668,BIBE
26,2020,82.92159246708228,56.156534040954234,26.765058426128043,BIBE
27,2021,142.33644618051065,100.70982926725253,41.62661691325812,BIBE
28,2022,103.6384096024006,86.73930811994799,16.899101482452608,BIBE
29,2023,96.93457847220427,85.67120543581066,11.263373036393602,BIBE
30,2024,98.38321649377862,96.14878863906509,2.2344278547135303,BIBE
31,2025,116.03590552810617,94.62846875888403,21.407436769222144,BIBE
32,2010,100.0,100.00000025640962,-2.5640962064699124e-07,BISC
33,2011,94.88333269370995,94.64031809139311,0.24301460231683336,BISC
34,2012,96.1795294930345,97.32340033607494,-1.143870843040446,BISC
35,2013,99.42817668956519,101.07960609815271,-1.6514294085875179,BISC
36,2014,103.65832597766436,97.35230878950145,6.306017188162912,BISC
37,2015,98.14589169896765,102.58922274799961,-4.443331049031968,BISC
38,2016,99.0137007330084,94.29606574631009,4.7176349866983145,BISC
39,2017,76.31826380627086,84.60919197667863,-8.290928170407767,BISC
40,2018,91.53346509575162,91.70961784920651,-0.17615275345488612,BISC
41,2019,104.73481214261042,102.12517679394927,2.6096353486611576,BISC
42,2020,57.810761023909116,47.618709048527805,10.192051975381311,BISC
43,2021,100.5147369228998,85.80857793191029,14.706158990989508,BISC
44,2022,105.92547108262656,91.92648493830549,13.998986144321066,BISC
45,2023,97.27136661933453,80.61477460096432,16.656592018370205,BISC
46,2024,93.93013393713781,105.94476870230856,-12.014634765170754,BISC
47,2025,80.15072725179414,168.5063773541256,-88.35565010233145,BISC
48,2010,100.0,100.00000629154506,-6.291545062708792e-06,BLCA
49,2011,106.60576121356655,98.26160196464774,8.344159248918814,BLCA
