year,actual_rmnp,synthetic_rmnp,percent_effect,effect
2010,100.0,100.00000006115062,-6.115061520075404e-08,-6.115061523814802e-08
2011,109.4120562565681,106.6806642166384,2.560344051085971,2.731392039929702
2012,105.65952217692347,101.22413681763902,4.381746783650079,4.435385359284453
2013,102.03443739705303,104.26591101155822,-2.140175626775874,-2.231473614505191
2014,111.18880011328827,110.57657979482255,0.5536618329140817,0.6122203184657167
2015,134.02444455210144,130.4123034271349,2.7697855417336052,3.6121411249665414
2016,144.2867683776673,143.8860614362098,0.27848906103748133,0.4007069414575142
2017,143.96320739951256,147.40400035829117,-2.334260230668888,-3.4407929587786157
2018,150.71890535212526,148.0053158786268,1.8334405473137052,2.713589473498473
2019,151.60574006305387,152.21468036184632,-0.40005359361190923,-0.6089402987924473
2020,106.91673312414753,126.11649622478805,-15.223831675769972,-19.199763100640524
2021,132.46039568908336,150.56750104806548,-12.025905479564155,-18.107105358982125
2022,128.38630367217954,134.12082501870327,-4.275638287882624,-5.734521346523735
2023,119.36470064320903,144.88616610104594,-17.614839390558398,-25.52146545783691
2024,122.96095095065252,150.2820207046253,-18.179865845476954,-27.32106975397278
2025,122.83261658629658,144.44719078301824,-14.963651476746307,-21.614574196721662
