park_code,weight,park_name
BADL,3.20837324633477e-11,Badlands National Park
BIBE,1.3278267172556669e-11,Big Bend National Park
BISC,0.0,Biscayne National Park
BLCA,3.6509148533651855e-10,Black Canyon of the Gunnison National Park
BRCA,1.7318280887113545e-10,Bryce Canyon National Park
CANY,0.20912635158159254,Canyonlands National Park
CARE,0.3426104520319799,Capitol Reef National Park
CAVE,9.233026945374725e-12,Carlsbad Caverns National Park
CONG,1.3266244212574873e-10,Congaree National Park
CRLA,6.075871016429753e-11,Crater Lake National Park
CUVA,0.0,Cuyahoga Valley National Park
DEVA,0.07724588924643257,Death Valley National Park
EVER,8.020586363134348e-11,Everglades National Park
GRBA,2.6505161840587723e-10,Great Basin National Park
GRCA,1.3392128131544e-12,Grand Canyon National Park
GRSA,1.461312548099666e-10,Great Sand Dunes National Park
GRSM,0.0,Great Smoky Mountains National Park
GRTE,0.0,Grand Teton National Park
GUMO,3.5896186804201906e-13,Guadalupe Mountains National Park
HAVO,4.884128355859197e-10,Hawaiʻi Volcanoes National Park
HOSP,0.0,Hot Springs National Park
INDU,1.6667667695285838e-10,Indiana Dunes National Park
JEFF,0.0,Gateway Arch National Park
JOTR,2.4190355153124253e-10,Joshua Tree National Park
KICA,1.3617585362665937e-11,Sequoia & Kings Canyon National Park
LAVO,1.4929360620785184e-11,Lassen Volcanic National Park
MACA,3.293661171331911e-11,Mammoth Cave National Park
MEVE,3.265224350833728e-11,Mesa Verde National Park
NEPE,0.04104195676702782,New River Gorge National Park
OLYM,2.7273630849591383e-11,Olympic National Park
PEFO,0.019724935199863246,Petrified Forest National Park
PINN,0.021666157926099047,Pinnacles National Park
REDW,0.0,Redwood National Park
SAGU,5.27917072117572e-11,Saguaro National Park
SHEN,4.961218127905663e-11,Shenandoah National Park
THRO,0.0,Theodore Roosevelt National Park
VOYA,1.544001839390545e-11,Voyageurs National Park
WHSA,6.604832356916714e-12,White Sands National Park
WICA,0.0,Wind Cave National Park
YELL,0.0,Yellowstone National Park
ZION,0.2885842554362824,Zion National Park
